Date,Name,type,brewery,Rating,Price ,Ml,Abv,# beers prior,Service ,Weather,Food,storage,venue,Notes 
2019-10-29,pure blonde,lager,pure blonde,2,0,330,4.2,2,1,warm,1,bottle,university house,
2019-10-29,pure blonde,lager,pure blonde,2,0,330,4.2,3,1,warm,1,bottle,university house,
2019-11-01,passionfruit sour,sour,bad shepherd brewing co,1,12,355,4,2,0,hot,1,can,penny blue,
2019-11-01,juicy ipa,ipa,3 ravens,2,16,568,6,1,1,hot,1,tap,up in smoke,
2019-11-01,pilsner,pilsner,hawkers,3,10,375,5,3,1,hot,1,tap,neapoli,
2019-11-01,meer jungfrau,sour,insel-braurei,3,14,330,5.6,4,1,hot,1,bottle,bar margaux,
2019-11-01,go go gorilla,banoffee milkshake ipa,3 ravens,4,17,568,5.8,0,1,hot,0,tap,up in smoke,
2019-11-03,pale gin sour,pale gin sour,little brew,2,0,330,7.6,0,.,cold,1,can,home,
2019-11-08,stella artois,lager,stella artois,2,7,500,4.8,0,1,cool,1,tap,university house,
2019-11-08,stella artois,lager,stella artois,3,0,500,4.8,0,1,cool,1,tap,university house,
2019-11-09,custard tart,stout,rocky ridge brewing co,2,9.5,375,6,0,.,hot,1,can,home,
2019-11-13,double chocolate stout,stout,youngs,2,5.6,330,5.2,0,.,cold,1,bottle,home,
2019-11-15,custard tart,stout,rocky ridge brewing co,3,9.5,375,6,0,.,cool,1,can,home,
2019-11-20,xpa,xpa,balter,3,9,375,5,0,0,hot,1,can,geralds bar,
2019-11-21,fox chaser,farmhouse red ale,mountain goat,2,14,640,6.5,0,.,cool,0,bottle,home,
2019-11-22,crispy wizard,lager,hop nation,2,3.33,375,4,0,.,cool,1,can,greg's house,
2019-11-22,crispy wizard,lager,hop nation,2,3.33,375,4,0,.,cool,1,can,greg's house,
2019-11-22,young greg,amber ale,6 kinnane ct,3,0,150,4.5,1,.,cool,1,bottle,greg's house,
2019-11-23,pavlova nz ipa,ipa,cubby haus brewery,1,3,120,6,3,1,cool,1,Tap,cubby haus brewery,
2019-11-23,good witch rye blonde,rye blonde,cubby haus brewery,2,3,120,5.2,2,1,cool,1,Tap,cubby haus brewery,
2019-11-23,classic oatmeal stout,oatmeal stout,cubby haus brewery,2,3,120,5,4,1,cool,1,Tap,cubby haus brewery,
2019-11-23,crispy wizard,lager,hop nation,2,3.33,375,4,5,.,cool,1,can,greg's house,
2019-11-23,lise bohemian pilsner,pilsner,cubby haus brewery,2,4.17,330,5.4,6,.,warm,1,bottle,greg's house,
2019-11-23,lise bohemian pilsner,pilsner,cubby haus brewery,3,3,120,5.4,0,1,cool,1,Tap,cubby haus brewery,
2019-11-23,weizen,weizen,cubby haus brewery,3,3,120,4.5,1,1,cool,1,Tap,cubby haus brewery,
2019-11-23,weizen,weizen,cubby haus brewery,3,3.33,12,4.5,7,.,Warm,0,Bottle,Greg's house,
2019-11-23,brown,brown ale,cubby haus brewing,3,3.33,330,5.5,8,.,cool,1,bottle,greg's house,
2019-11-27,peroni,lager,peroni,3,0,330,330,0,.,warm,1,bottle,chris' house,
2019-11-29,korben d,dipa,akasha brewing company,2,8.1,375,8.5,0,.,warm,0,can,home,
2019-11-29,the dawn,dneipa,hop nation,2,9.5,375,9,1,.,warm,1,can,home,
2019-11-29,sprocket,ipa,bentspoke,2,,375,7,2,.,cool,1,can,home,
2019-11-29,haiku,dipa,deep creek,2,,440,8,3,.,cool,1,can,home,
2019-11-30,sunshine and rainbows,sour,boatrocker,2,8,375,3.8,3,.,warm,1,can,home,
2019-11-30,hazy,dipa,balter,2,10,500,6,0,.,cool,1,can,home,
2019-11-30,miss pinky,berliner weisse,boatrocker,3,9,375,3.4,4,.,cool,1,can,home,
2019-11-30,imperial stout,imperial  stout,colonial,3,11,330,12,2,1,cold,0,tap,up in smoke,
2019-11-30,mr blue 2019,blackcurrant imperial stout,to ol,3,16,500,10.1,1,.,warm,1,can,home,
2019-12-04,idaho 7,hazy ipa,dainton brewery,2,14.5,568,6,1,1,cool,1,tap,the curtin hotel,
2019-12-04,cake hole,black forest stout,moon dog,3,14.5,568,6.5,0,1,warm,0,tap,the curtin hotel,
2019-12-05,draught,Draught,James boag's,1,0,375,4.6,0,. ,Warm,0,Bottle,Sea world ,
2019-12-05,draught,Draught,James boag's,2,0,375,4.6,1,. ,Warm,1,Bottle,Sea world ,
2019-12-10,roche,hazelnut stout,pirate life,3,0,568,7.6,0,1,cool,0,tap,prince alfres rooftop and bar,
2019-12-10,cherry mulberry,dark sour,pirate life,3,7.5,285,6.4,1,1,cool,1,tap,prince alfres rooftop and bar,
2019-12-14,ultra light,lager,coopers,2,0,375,0.4,0,.,cool,0,bottle,bev's house,
2019-12-14,semi sour pale ale,semi sour pale ale,holgate,3,0,568,4.6,0,1,cool,1,tap,Sooki lounge,
2019-12-17,lager,Lager,Cascade,1,0,375,2.4,2,. ,Cool,1,Bottle,Professors walk ,
2019-12-17,lager,lager,pure blonde,2,0,355,4.2,0,.,Cool,0,Bottle,Professors walk,
2019-12-17,lager,lager,pure blonde,2,0,355,4.2,1,.,Cool,0,Bottle,Professors walk,
2019-12-18,guinness,stout,guinness,2,6,285,4.1,0,1,cool,0,tap,the last jar,
2019-12-18,koshihikari echigo,rice lager ,koshihikari echigo,3,13,500,5,0,1,Hot,1,Bottle ,Longplay,
2019-12-21,coast ale,coast ale,Capital brewing,2,0,375,4.3,2,. ,Warm,1,Can,Home,
2019-12-21,coast ale,coast ale,Capital brewing,2,0,375,4.3,3,. ,Warm,1,Can,Home,
2019-12-21,white mischief,sour,garage project,3,0,330,2.9,1,.,warm,1,can,home,
2019-12-21,pale lager,pale lager,dos blockos,3,12.5,568,,0,1,cool,0,tap,lickety split,
2019-12-23,taco,lager,two birds,3,14,568,5.2,1,1,warm,0,tap,back alley sally's,
2019-12-23,taco,lager,two birds,4,14,568,5.2,0,1,warm,0,tap,back alley sally's,
2019-12-24,pale ale,pale ale,sierra nevada,2,16.5,568,5.6,0,1,cool,1,tap,two johns taphouse melbourne airport,
2019-12-26,american style ipa,aipa,Marston's,2,0,500,5,2,.,hot,1,bottle,tiggy and fiona's house,
2019-12-26,Bauble,Dark winter ale,Box steam,3,7,568,4,0,1,warm,0,hand pump,"the old fleece, woodchester",
2019-12-26,notorius,session pale ale,bristol beer factory,3,7,568,3.8,1,1,warm,1,Hand pump,"the old fleece, woodchester",
2019-12-27,Schwarzwalder,cherry stout,Stroud brewery,1,5,330,5,0,.,warm,0,can,Bram's house,
2019-12-27,hoegaarden,wheat beer,hoegaarden,3,0,330,4.9,1,.,cool,0,bottle,bram's house,
2019-12-27,korev,lager,st austell,3,0,500,4.8,2,. ,Cool,0,Bottle,Bram's house,
2019-12-28,yakima,red ale,meantime,2,4,285,,1,1,warm,1,tap,pymore inn,
2019-12-28,alkoholfrei,beer,erdinger,2,6,500,0.5,3,1,hot,1,bottle,pymore inn,
2019-12-28,milk stout,milk stout,bristol beer factory,3,0,285,4.5,0,1,warm,1,tap,pymore inn,
2019-12-28,milk stout,milk stout,bristol beer factory,3,0,285,4.5,2,1,warm,1,tap,pymore inn,
2019-12-28,dorset gold,Golden ale,palmers brewery,4,9,500,4.5,0,1,cool,1,Bottle,olive tree,
2019-12-29,neck oil,Session ipa,beavertown,3,10,568,4.3,0,1,cool,0,tap,the coconut tree bristol,
2020-01-02,tasty juice,neipa,lervig,3,7,200,6,1,1,cool,0,tap,king grizzly florence,
2020-01-02,pink spinel,rhubarb sour,beatnikz republic,3,10,330,4.3,0,1,cool,0,tap,king grizzly florence,
2020-01-02,cento volte forte,witbier,Birrifico forte,3,10,330,4,2,1,cold,1,bottle,panini toscani,
2020-01-03,stradaregina,imperial stout,grande botta,1,6,200,10,5,1,cool,1,Tap,archea brewery firenze,
2020-01-03,Montegioco,barleywine,Zorzona 2016,2,6,200,10,3,1,Cool,1,Tap,archea brewery firenze,
2020-01-03,lale 2017,oud bruin,Loverbeer,2,6,200,9,4,1,Cool,1,Tap,archea brewery firenze,
2020-01-03,Italian tomato ale,tomato ale,arrobiolo,3,6,200,5,2,1,cool,1,tap,archea brewery firenze,
2020-01-03,kristalli di sale,keller,birra messina,3,16,1000,5,0,1,cold,0,tap,la birreria ditta luigi moretti,
2020-01-08,heineken,lager,heineken,1,0,250,5,2,1,cool,1,can,klm flight,
2020-01-08,heineken,lager,heineken,2,7,250,5,1,1,cool,1,tap,kiosk amsterdam airport,
2020-01-08,weizen,weizen,brand,2,9,300,,0,1,cool,1,tap,het paleis amsterdam airport,
2020-01-09,12 apostles,australian ipa,bristol beer factory,1,0,568,5,0,1,cool,1,hand pump,bristol beer factory tap room,
2020-01-09,independence,american pale ale,bristol beer factory,2,0,568,4.6,1,1,warm,1,hand pump,bristol beer factory,
2020-01-09,russian imperial 2016,Russian imperial stout ,bristol beer factory ,3,0,165,10,2,. ,warm,1,Bottle ,Oli's house,
2020-01-10,birra moretti,Lager,birra moretti,2,0,330,4.6,0,. ,Cool,0,Bottle,Bram's house ,
2020-01-10,doom bar,amber ale,sharp's,3,4.4,285,4,1,1,warm,1,hand pump,boca bar,
2020-01-10,white milk stout,creamy pale ale,bristol beer factory,4,4,285,4.5,0,1,Warm,0,Hand pump,Arnolfini cafe bar,
2020-01-11,hobgoblin,ruby ale,wychwood brewery,2,0,500,5.2,1,.,hot,1,bottle,Mum's house,
2020-01-11,esb,champion ale,fullers,3,0,500,5.9,0,.,warm,0,bottle,mum's house,
2020-01-12,becks,lager,becks,2,0,275,4.8,0,.,warm,0,bottle,bram's house,
2020-01-12,versa,weisse,thornbridge,2,4,330,5,7,1,cool,1,bottle,wetherspoons bridport,
2020-01-12,atlantic,pale ale,sharp's,2,8.4,568,4.5,5,1,cold,1,tap,the tiger,
2020-01-12,becks,lager,becks,3,0,275,4.8,1,.,warm,0,bottle,bram's house,
2020-01-12,becks,lager,becks,3,0,275,4.8,2,.,warm,0,bottle,bram's house,
2020-01-12,winter wonder,dark ruby ale,butcombe,3,0,568,4.1,3,1,cold,1,hand pump,the tiger,
2020-01-12,pathmaker,Pale ale,Black sheep,3,5.6,330,5.6,6,1,Cold,1,Can,Wetherspoons Bridport ,
2020-01-12,winter wonder,dark ruby ale,butcombe,3,7.2,568,4.1,4,1,cold,1,hand pump,the tiger,
2020-02-06,goblinoid,"cryo-hopped ipa
",tallboy & moose,3,10,440,7,1,.,warm,1,"can
",home,
2020-02-06,1 ton of blueberries,blueberry sour,to ol,3,16,500,8.5,0,.,warm,1,can,home,
2020-02-12,the heart,pale ale,hop nation,3,10,425,4.6,0,1,hot,1,tap,victoria hotel footscray,
2020-02-19,peroni tradizione,lager,peroni,2,4.05,330,4.7,2,1,cold,0,bottle,don don japanese bistro,
2020-02-19,pilsner,pilsner,3 ravens,2,10,375,4.5,0,1,cool,0,can,Games Laboratory,
2020-02-19,black stout,black stout,cockies,3,10,330,6,1,1,cool,0,Bottle,Games laboratory,
